Exercise,Muscle_Involved,Pain_Level,Functional_Goal
Resistance Band Leg Curls,Hamstrings,Moderate,Improve Mobility
Nordic Hamstring Curl,Hamstrings,Moderate,Improve Mobility
Standing Hamstring Curl (Assisted),Hamstrings,Moderate,Improve Mobility
None,Hamstrings,Moderate,Improve Mobility
Dynamic Calf Stretch,Hamstrings,Severe,Improve Mobility
Toe Walks,Calf,Low,Improve Mobility
Heel Walks,Calf,Low,Improve Mobility
Standing Calf Stretch (Wall-Assisted),Calf,Low,Improve Mobility
Calf Raises,Calf,Low,Improve Mobility
Step-Ups,Calf,Low,Improve Mobility
Single-Leg Calf Raises,Calf,Low,Improve Mobility
Ankle Circles,Calf,Low,Improve Mobility
Heel-to-Toe Rocking,Calf,Moderate,Improve Mobility
Standing Calf Stretch,Calf,Moderate,Improve Mobility
Resistance Band Calf Extensions,Calf,Moderate,Improve Mobility
Seated Calf Raises,Calf,Moderate,Improve Mobility
Eccentric Calf Raises,Calf,Moderate,Improve Mobility
Towel Calf Stretch (Seated),Calf,Moderate,Improve Mobility
None,Calf,Severe,Improve Mobility
Ankle Circles,Ankle,Low,Improve Mobility
Toe Point and Flex,Ankle,Low,Improve Mobility
Heel-to-Toe Rocks,Ankle,Low,Improve Mobility
Calf Raises (No Weight),Ankle,Low,Improve Mobility
Towel Scrunches,Ankle,Low,Improve Mobility
Seated Ankle Press,Ankle,Low,Improve Mobility
Ankle Alphabet,Ankle,Moderate,Improve Mobility
Standing Calf Stretch,Ankle,Moderate,Improve Mobility
Heel Raises (Low Resistance),Ankle,Moderate,Improve Mobility
Resistance Band Ankle Flexion,Ankle,Moderate,Improve Mobility
Seated Ankle Dorsiflexion (With Band),Ankle,Moderate,Improve Mobility
Toe Taps,Ankle,Moderate,Improve Mobility
None,Ankle,Severe,Improve Mobility
Hip Circles,Gluteals,Low,Improve Mobility
Bridge,Gluteals,Low,Improve Mobility
Supine Figure-Four Stretch,Gluteals,Low,Improve Mobility
Clamshells with light resistance band,Gluteals,Low,Improve Mobility
Squats (Without Weights),Gluteals,Low,Improve Mobility
Standing Hip Circles,Gluteals,Low,Improve Mobility
Pelvic Tilts,Gluteals,Moderate,Improve Mobility
Bird Dog,Gluteals,Moderate,Improve Mobility
Kneeling Gluteal Stretch,Gluteals,Moderate,Improve Mobility
Step-Ups,Gluteals,Moderate,Improve Mobility
Light-weight Deadlifts,Gluteals,Moderate,Improve Mobility
Reclined Figure-4 Stretch,Gluteals,Moderate,Improve Mobility
None,Gluteals,Severe,Improve Mobility
Cat-Cow Stretch,Abdominals,Low,Improve Mobility
Standing Trunk Rotations,Abdominals,Low,Improve Mobility
Deep Breathing Exercises,Abdominals,Low,Improve Mobility
Pelvic Tilts,Abdominals,Low,Improve Mobility
Modified Plank,Abdominals,Low,Improve Mobility
Dead Bug Exercise,Abdominals,Low,Improve Mobility
Seated Forward Bend,Abdominals,Moderate,Improve Mobility
Cat-Cow Stretch,Abdominals,Moderate,Improve Mobility
Torso Twists with Controlled Breathing,Abdominals,Moderate,Improve Mobility
Bird Dog,Abdominals,Moderate,Improve Mobility
Side Plank (Knee Support),Abdominals,Moderate,Improve Mobility
Glute Bridge,Abdominals,Moderate,Improve Mobility
None,Abdominals,Severe,Improve Mobility
Standing Side Bends,Obliques,Low,Improve Mobility
Cat-Cow Stretch,Obliques,Low,Improve Mobility
Seated Torso Rotations,Obliques,Low,Improve Mobility
Side Plank on Knees,Obliques,Low,Improve Mobility
Russian Twists (No Weight),Obliques,Low,Improve Mobility
Standing Oblique Crunches,Obliques,Low,Improve Mobility
Seated Side Stretch,Obliques,Moderate,Improve Mobility
Trunk Rotations,Obliques,Moderate,Improve Mobility
Cat-Cow Stretch,Obliques,Moderate,Improve Mobility
Modified Side Plank,Obliques,Moderate,Improve Mobility
Dead Bug Exercise (Controlled),Obliques,Moderate,Improve Mobility
Oblique Crunches (Supine),Obliques,Moderate,Improve Mobility
None,Obliques,Severe,Improve Mobility
Core Stabilization,Lower Back,Low,Improve Mobility
Lower Back Mobilization,Lower Back,Low,Improve Mobility
Cat-Cow Stretch,Lower Back,Low,Improve Mobility
Bird Dogs,Lower Back,Low,Improve Mobility
Bridges,Lower Back,Low,Improve Mobility
Knees-to-Chest Stretch,Lower Back,Low,Improve Mobility
Active Stretching,Lower Back,Moderate,Improve Mobility
Yoga,Lower Back,Moderate,Improve Mobility
Pelvic Tilt,Lower Back,Moderate,Improve Mobility
Partial Deadlifts (with light weights),Lower Back,Moderate,Improve Mobility
Wall Sits,Lower Back,Moderate,Improve Mobility
Seated Forward Fold (Chair-Assisted),Lower Back,Moderate,Improve Mobility
None,Lower Back,Severe,Improve Mobility
Diaphragmatic Breathing,Diaphragm,Low,Improve Mobility
Pursed Lip Breathing,Diaphragm,Low,Improve Mobility
Diaphragmatic (Belly) Breathing,Diaphragm,Low,Improve Mobility
Seated or Lying Marching,Diaphragm,Low,Improve Mobility
Balloon Blowing,Diaphragm,Low,Improve Mobility
Crocodile Breathing,Diaphragm,Low,Improve Mobility
Segmental Breathing,Diaphragm,Moderate,Improve Mobility
Sniffing,Diaphragm,Moderate,Improve Mobility
Seated Diaphragmatic Breathing with Arm Support,Diaphragm,Moderate,Improve Mobility
Resistance Band Breathing,Diaphragm,Moderate,Improve Mobility
90/90 Diaphragmatic Breathing (Wall-Supported),Diaphragm,Moderate,Improve Mobility
Lateral Rib Breathing,Diaphragm,Moderate,Improve Mobility
None,Diaphragm,Severe,Improve Mobility
Segmental Spinal Mobilization,Multifidus,Low,Improve Mobility
Pelvic Tilts,Multifidus,Low,Improve Mobility
Cat-Cow Stretch,Multifidus,Low,Improve Mobility
Bird Dogs,Multifidus,Low,Improve Mobility
Bridges,Multifidus,Low,Improve Mobility
Prone Arm and Leg Raises,Multifidus,Low,Improve Mobility
Core Stabilization Exercises,Multifidus,Moderate,Improve Mobility
Modified Yoga,Multifidus,Moderate,Improve Mobility
Supported Bridge Pose,Multifidus,Moderate,Improve Mobility
Wall Squats,Multifidus,Moderate,Improve Mobility
Supermans,Multifidus,Moderate,Improve Mobility
Pelvic Tilt (Supine),Multifidus,Moderate,Improve Mobility
None,Multifidus,Severe,Improve Mobility
